venue_uri,venue_name
https://dblp.org/streams/conf/fase,FASE
https://dblp.org/streams/conf/pdpta,PDPTA
https://dblp.org/streams/conf/rev,REV
https://dblp.org/streams/conf/cgo,CGO
https://dblp.org/streams/conf/lics,LICS
https://dblp.org/streams/conf/ideas,IDEAS
https://dblp.org/streams/conf/knowright,KnowRight
https://dblp.org/streams/conf/e4mas,E4MAS
https://dblp.org/streams/conf/ic3k,KEOD
https://dblp.org/streams/conf/dsdis,DSDIS
https://dblp.org/streams/conf/aswc,JIST
https://dblp.org/streams/conf/programmier,Fachtagung \u00FCber Programmiersprachen
https://dblp.org/streams/conf/d-cscl,D-CSCL
https://dblp.org/streams/conf/sofsem,SOFSEM
https://dblp.org/streams/conf/rsp,IEEE International Workshop on Rapid System Prototyping
